"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2"
27,"Lugo",68,"Arbutus unedo","IAVC",2,"0",13,5.19,0.395952,-18.2,0,0,0,0,0.28118751
27,"Lugo",3,"Frangula alnus","VCC",5,"0",1,-7.75,0.0004006,0,0,0,0,0,0
27,"Lugo",45,"Quercus ilex","VSC",2,"0",7,-17.01,0.8383823,7.4e-06,0,0,0,0,0
27,"Lugo",576,"Acer pseudoplatanus","VLE",2,"0",10,-3.9,0.06986,8.07e-05,0,0,0,0,0
27,"Lugo",264,"Eucalyptus viminalis","VLE",5,"0",10,17.66,-0.0849,7.64e-05,0,0,0,0,0
27,"Lugo",46,"Quercus suber","VCC",2,"0",1,50.87,0.0002409,0,0,0,0,0,0
27,"Lugo",68,"Arbutus unedo","VSC",2,"0",7,2.55,0.7571656,8.57e-05,0,0,0,0,0
27,"Lugo",71,"Fagus sylvatica","VLE",4,"0",10,-6.88,0.0573,7.07e-05,0,0,0,0,0
27,"Lugo",258,"Populus x canadensis","IAVC",2,"0",13,12.49,0.6632013,-22.9,0,0,0,0,0.43954799
27,"Lugo",21,"Pinus sylvestris","VCC",2,"0",1,10.66,0.0003393,0,0,0,0,0,0
27,"Lugo",12,"Malus sylvestris","VLE",1,"0",10,-31.27,0.271,6.05e-05,0,0,0,0,0
27,"Lugo",657,"Salix caprea","VLE",1,"0",10,6.03,-0.0022,0.0002056,0,0,0,0,0
27,"Lugo",72,"Castanea sativa","VSC",6,"0",7,-12.54,0.8868854,8e-06,0,0,0,0,0
27,"Lugo",364,"Eucalyptus gomphocephalus","VSC",5,"0",7,0.6,0.7982737,8.5e-06,0,0,0,0,0
27,"Lugo",357,"Salix atrocinerea","VSC",2,"0",7,-6.47,0.7939548,3.43e-05,0,0,0,0,0
27,"Lugo",12,"Malus sylvestris","IAVC",4,"0",13,21.43,0.5222982,-48.4,0,0,0,0,0.43871251
27,"Lugo",357,"Salix atrocinerea","IAVC",2,"0",13,6.57,0.4307993,-22.2,0,0,0,0,0.44862113
27,"Lugo",28,"Pinus radiata","VCC",1,"0",11,0,0,0,0,1.99028,0.0004466,0,0
27,"Lugo",48,"Quercus rubra","VCC",2,"0",1,-1.96,0.0002858,0,0,0,0,0,0
27,"Lugo",21,"Pinus sylvestris","VCC",5,"0",1,36.68,0.000206,0,0,0,0,0,0
27,"Lugo",255,"Fraxinus excelsior","VCC",6,"0",1,37.56,0.0002307,0,0,0,0,0,0
27,"Lugo",3,"Frangula alnus","IAVC",3,"0",13,5.19,0.395952,-18.2,0,0,0,0,0.28118751
27,"Lugo",264,"Eucalyptus viminalis","VCC",5,"0",1,3.44,0.0002632,0,0,0,0,0,0
27,"Lugo",576,"Acer pseudoplatanus","IAVC",3,"0",13,21.43,0.5222982,-48.4,0,0,0,0,0.43871251
27,"Lugo",93,"Pistacia terebinthus","VSC",3,"0",7,0.26,0.8236223,2.33e-05,0,0,0,0,0
27,"Lugo",58,"Populus nigra","VCC",2,"0",1,56.04,0.0002424,0,0,0,0,0,0
27,"Lugo",93,"Pistacia terebinthus","VCC",3,"0",1,18.95,0.0002621,0,0,0,0,0,0
27,"Lugo",25,"Pinus nigra","VCC",1,"0",1,12.01,0.000363,0,0,0,0,0,0
27,"Lugo",42,"Quercus petraea","IAVC",5,"0",13,12.12,0.3948448,-31.2,0,0,0,0,0.44233078
27,"Lugo",46,"Quercus suber","VLE",4,"0",10,-15,0.726,-0.000878,0,0,0,0,0
27,"Lugo",74,"Corylus avellana","VSC",3,"0",7,-17.13,0.875063,1.05e-05,0,0,0,0,0
27,"Lugo",357,"Salix atrocinerea","IAVC",5,"0",13,6.57,0.4307993,-22.2,0,0,0,0,0.44862113
27,"Lugo",95,"Prunus spp.","IAVC",5,"0",13,21.43,0.5222982,-48.4,0,0,0,0,0.43871251
27,"Lugo",94,"Laurus nobilis","VSC",4,"0",7,0.19,0.7891678,3.08e-05,0,0,0,0,0
27,"Lugo",97,"Sambucus nigra","VLE",2,"0",10,-5.7,0.272,-0.0001535,0,0,0,0,0
27,"Lugo",36,"Cupressus sempervirens","VSC",1,"0",7,-15.69,0.7459322,1.67e-05,0,0,0,0,0
27,"Lugo",94,"Laurus nobilis","IAVC",1,"0",13,21.43,0.5222982,-48.4,0,0,0,0,0.43871251
27,"Lugo",78,"Sorbus spp.","VLE",1,"0",10,-19.28,0.2092,-7.83e-05,0,0,0,0,0
27,"Lugo",72,"Castanea sativa","VLE",1,"0",10,-31.27,0.271,6.05e-05,0,0,0,0,0
27,"Lugo",61,"Eucalyptus globulus","VSC",2,"0",7,0.6,0.7982737,8.5e-06,0,0,0,0,0
27,"Lugo",65,"Ilex aquifolium","VSC",2,"0",7,2.55,0.7571656,8.57e-05,0,0,0,0,0
