"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2"
32,"Ourense",55,"Fraxinus angustifolia","IAVC",2,"0",13,8.1,0.5693901,-19.5,0,0,0,0,0.48901351
32,"Ourense",16,"Pyrus spp.","VSC",5,"0",7,0.19,0.7891678,3.08e-05,0,0,0,0,0
32,"Ourense",65,"Ilex aquifolium","IAVC",1,"0",13,8.1,0.5693901,-19.5,0,0,0,0,0.48901351
32,"Ourense",26,"Pinus pinaster","IAVC",1,"0",13,25.18,1.5166867,-24.6,0,0,0,0,0.60942833
32,"Ourense",378,"Sorbus aucuparia","VSC",5,"0",7,-9.55,0.798818,1.06e-05,0,0,0,0,0.996370017528534
32,"Ourense",378,"Sorbus aucuparia","VSC",1,"0",7,-9.55,0.798818,1.06e-05,0,0,0,0,0.996370017528534
32,"Ourense",75,"Juglans regia","VSC",3,"0",7,-40.1,0.9121813,1.9e-06,0,0,0,0,0.998889982700348
32,"Ourense",78,"Sorbus spp.","VLE",1,"0",10,-19.28,0.2092,-7.83e-05,0,0,0,0,0
32,"Ourense",65,"Ilex aquifolium","VCC",2,"0",1,-7.75,0.0004006,0,0,0,0,0,0
32,"Ourense",61,"Eucalyptus globulus","IAVC",3,"0",13,78.66,3.9129398,-28.2,0,0,0,0,0.57204987
32,"Ourense",57,"Salix spp.","VCC",2,"0",1,109.53,0.0001481,0,0,0,0,0,0
32,"Ourense",56,"Ulmus minor","VCC",6,"0",1,24.82,0.0002633,0,0,0,0,0,0
32,"Ourense",307,"Acacia dealbata","VCC",5,"0",1,18.95,0.0002621,0,0,0,0,0,0
32,"Ourense",74,"Corylus avellana","VSC",4,"0",7,0.19,0.7891678,3.08e-05,0,0,0,0,0
32,"Ourense",657,"Salix caprea","IAVC",3,"0",13,8.1,0.5693901,-19.5,0,0,0,0,0.48901351
32,"Ourense",307,"Acacia dealbata","VSC",5,"0",7,0.26,0.8236223,2.33e-05,0,0,0,0,0
32,"Ourense",55,"Fraxinus angustifolia","VSC",6,"0",7,-9.55,0.798818,1.06e-05,0,0,0,0,0.996370017528534
32,"Ourense",72,"Castanea sativa","VSC",5,"0",7,-13.17,0.8749605,9.1e-06,0,0,0,0,0.999750018119812
32,"Ourense",357,"Salix atrocinerea","VLE",4,"0",10,6.03,-0.0022,0.0002056,0,0,0,0,0
32,"Ourense",28,"Pinus radiata","VSC",1,"0",7,-14.05,0.8038252,1.63e-05,0,0,0,0,0.996900022029877
32,"Ourense",57,"Salix spp.","VCC",3,"0",1,109.53,0.0001481,0,0,0,0,0,0
32,"Ourense",74,"Corylus avellana","VSC",3,"0",7,0.19,0.7891678,3.08e-05,0,0,0,0,0
