"Codigo_especie","Provincia","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2","Especie"
592,15,"VCC",1,"0",1,18.95,0.0002621,0,0,0,0,0,0,NA
746,23,"VCC",1,"0",11,0,0,0,0,0.0027383,1.71167,0.61572,0.93219,NA
746,23,"VSC",1,"0",7,-6.74,0.7317869,0.0001778,0,0,0,0,0.97276,NA
746,23,"IAVC",1,"0",19,1.97467,-0.0087696,5.53e-05,-3.717e-08,0,0,0,0.48478,NA
746,23,"VLE",1,"0",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
746,23,"VCC",2,"0",11,0,0,0,0,0.0027383,1.71167,0.61572,0.93219,NA
746,23,"VSC",2,"0",7,-6.74,0.7317869,0.0001778,0,0,0,0,0.97276,NA
746,23,"IAVC",2,"0",19,1.97467,-0.0087696,5.53e-05,-3.717e-08,0,0,0,0.48478,NA
746,23,"VLE",2,"0",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
746,23,"VCC",3,"0",11,0,0,0,0,0.0027383,1.71167,0.61572,0.93219,NA
746,23,"VSC",3,"0",7,-6.74,0.7317869,0.0001778,0,0,0,0,0.97276,NA
746,23,"IAVC",3,"0",19,1.97467,-0.0087696,5.53e-05,-3.717e-08,0,0,0,0.48478,NA
746,23,"VLE",3,"0",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
746,23,"VCC",4,"0",11,0,0,0,0,0.0027383,1.71167,0.61572,0.93219,NA
746,23,"VSC",4,"0",7,-6.74,0.7317869,0.0001778,0,0,0,0,0.97276,NA
746,23,"IAVC",4,"0",19,1.97467,-0.0087696,5.53e-05,-3.717e-08,0,0,0,0.48478,NA
746,23,"VLE",4,"0",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
746,23,"VCC",5,"0",11,0,0,0,0,0.0027383,1.71167,0.61572,0.93219,NA
746,23,"VSC",5,"0",7,-6.74,0.7317869,0.0001778,0,0,0,0,0.97276,NA
746,23,"IAVC",5,"0",19,1.97467,-0.0087696,5.53e-05,-3.717e-08,0,0,0,0.48478,NA
746,23,"VLE",5,"0",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
746,18,"VCC",2,"0",11,0,0,0,0,0.0011082,1.87893,0.76382,0.947,NA
746,18,"VSC",2,"0",7,-23.46,0.6971691,0.0001167,0,0,0,0,0.97838,NA
746,18,"IAVC",2,"0",13,4.27805,0.0239782,-232.7939189,0,0,0,0,0.49913,NA
746,18,"VCC",3,"0",11,0,0,0,0,0.0026803,1.86159,0.2291,0.97313,NA
746,18,"VSC",3,"0",7,-10.94,0.6750618,0.0002251,0,0,0,0,0.97257,NA
746,18,"VCC",4,"0",11,0,0,0,0,0.0022002,1.82264,0.382,0.91321,NA
746,18,"VSC",1,"0",7,-23.46,0.6971691,0.0001167,0,0,0,0,0.97838,NA
746,18,"VLE",2,"10",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
746,18,"VSC",4,"0",7,-21.32,0.7529007,8.81e-05,0,0,0,0,0.98015,NA
746,18,"IAVC",4,"0",13,4.27805,0.0239782,-232.7939189,0,0,0,0,0.49913,NA
746,18,"VLE",4,"10",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
746,18,"VCC",5,"0",11,0,0,0,0,0.0011082,1.87893,0.76382,0.947,NA
746,18,"VSC",5,"0",7,-23.46,0.6971691,0.0001167,0,0,0,0,0.97838,NA
746,18,"IAVC",5,"0",13,4.27805,0.0239782,-232.7939189,0,0,0,0,0.49913,NA
746,18,"VLE",5,"10",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
826,40,"VCC",1,"0",11,0,0,0,0,0.0018083,1.78334,0.92353,0.97394,NA
826,18,"VCC",3,"0",11,0,0,0,0,0.0006181,2.12523,0.31372,0.98023,NA
826,18,"VSC",3,"0",7,-0.29,0.6518112,-0.0002227,0,0,0,0,0.94198,NA
826,18,"IAVC",3,"0",13,9.87049,0.0598863,-237.5810171,0,0,0,0,0.45211,NA
826,18,"VLE",3,"0",12,0,0,0,0,5.64e-05,2.24028,0,0.40058,NA
826,18,"VCC",5,"0",11,0,0,0,0,0.0004845,1.99829,0.87931,0.98578,NA
826,18,"VSC",5,"0",7,-7.21,0.71114,3.95e-05,0,0,0,0,0.99359,NA
826,18,"IAVC",5,"0",13,9.87049,0.0598863,-237.5810171,0,0,0,0,0.45211,NA
826,18,"VLE",5,"0",12,0,0,0,0,5.64e-05,2.24028,0,0.40058,NA
826,40,"IAVC",1,"0",21,0,0,0.0002832,-2.6942e-07,0,0,0,0.76056,NA
826,40,"VSC",1,"0",7,-49.91,0.7908259,1.42e-05,0,0,0,0,0.98608,NA
826,40,"VCC",2,"0",11,0,0,0,0,0.0018083,1.78334,0.92353,0.97394,NA
826,18,"VCC",1,"0",11,0,0,0,0,0.0004845,1.99829,0.87931,0.98578,NA
826,18,"VSC",1,"0",7,-7.21,0.71114,3.95e-05,0,0,0,0,0.99359,NA
826,40,"VSC",2,"0",7,-49.91,0.7908259,1.42e-05,0,0,0,0,0.98608,NA
826,40,"IAVC",5,"0",21,0,0,0.0002832,-2.6942e-07,0,0,0,0.76056,NA
826,18,"VCC",2,"0",11,0,0,0,0,0.0004845,1.99829,0.87931,0.98578,NA
826,18,"VSC",2,"0",7,-7.21,0.71114,3.95e-05,0,0,0,0,0.99359,NA
826,18,"IAVC",2,"0",13,9.87049,0.0598863,-237.5810171,0,0,0,0,0.45211,NA
826,18,"VLE",2,"0",12,0,0,0,0,5.64e-05,2.24028,0,0.40058,NA
826,40,"VLE",1,"0",12,0,0,0,0,9.21e-05,2.17465,0,0.25342,NA
826,40,"VLE",3,"0",12,0,0,0,0,9.21e-05,2.17465,0,0.25342,NA
826,40,"IAVC",3,"0",21,0,0,0.0002832,-2.6942e-07,0,0,0,0.76056,NA
826,40,"VLE",5,"0",12,0,0,0,0,9.21e-05,2.17465,0,0.25342,NA
826,40,"VSC",5,"0",7,-26.61,0.7905704,8.1e-06,0,0,0,0,0.99094,NA
826,40,"VCC",5,"0",11,0,0,0,0,0.0010734,1.86844,0.9168,0.99882,NA
826,40,"VSC",3,"0",7,1.06,0.4850355,0.000938,0,0,0,0,0.84875,NA
826,40,"VLE",2,"0",12,0,0,0,0,9.21e-05,2.17465,0,0.25342,NA
826,40,"IAVC",2,"0",21,0,0,0.0002832,-2.6942e-07,0,0,0,0.76056,NA
826,40,"VCC",3,"0",11,0,0,0,0,0.0006058,2.15546,0.24682,0.97527,NA
846,18,"VCC",3,"0",11,0,0,0,0,0.0026803,1.86159,0.2291,0.97313,NA
846,18,"VSC",3,"0",7,-10.94,0.6750618,0.0002251,0,0,0,0,0.97257,NA
846,18,"VCC",4,"0",11,0,0,0,0,0.0013559,1.90346,0.40106,0.89924,NA
846,18,"VSC",4,"0",7,-7.5,0.7644698,9.04e-05,0,0,0,0,0.9747,NA
846,18,"IAVC",4,"0",13,4.27805,0.0239782,-232.7939189,0,0,0,0,0.49913,NA
846,18,"VLE",4,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,18,"VCC",5,"0",11,0,0,0,0,0.0011547,2.01276,0.34539,0.96066,NA
846,18,"VSC",5,"0",7,-6.19,0.7439194,7.29e-05,0,0,0,0,0.97006,NA
846,18,"IAVC",5,"0",13,4.27805,0.0239782,-232.7939189,0,0,0,0,0.49913,NA
846,18,"VLE",5,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,14,"VSC",5,"0",7,-8.6,0.8085807,0.0001121,0,0,0,0,0.98517,NA
846,14,"IAVC",5,"0",20,0.57774,0.0089598,0,1.324e-08,0,0,0,0.35805,NA
846,10,"VSC",1,"11",7,-48.22,0.9598875,-8.45e-05,0,0,0,0,0.94667,NA
846,13,"IAVC",1,"0",16,1.13002,3.61e-05,0,0,0,0,0,0.51707,NA
846,23,"VCC",1,"0",11,0,0,0,0,0.0027383,1.71167,0.61572,0.93219,NA
846,23,"VSC",1,"0",7,-6.74,0.7317869,0.0001778,0,0,0,0,0.97276,NA
846,23,"IAVC",1,"0",19,1.97467,-0.0087696,5.53e-05,-3.717e-08,0,0,0,0.48478,NA
846,23,"VLE",1,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,23,"VCC",2,"0",11,0,0,0,0,0.0027383,1.71167,0.61572,0.93219,NA
846,23,"VSC",2,"0",7,-6.74,0.7317869,0.0001778,0,0,0,0,0.97276,NA
846,23,"VLE",2,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,23,"VCC",5,"0",11,0,0,0,0,0.0027383,1.71167,0.61572,0.93219,NA
846,8,"VCC",1,"11",1,57.24,0.00025,0,0,0,0,0,0.96812,NA
846,8,"IAVC",5,"11",17,-0.91294,0.0129934,1.02e-05,0,0,0,0,0.267695108,NA
846,8,"VLE",5,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56358999,NA
846,8,"VLE",1,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.56358999,NA
846,37,"VCC",1,"11",11,0,0,0,0,0.0010514,1.90686,0.57297,0.9614,NA
846,37,"VSC",1,"11",7,-0.68,0.7806408,3.83e-05,0,0,0,0,0.992,NA
846,37,"IAVC",1,"11",16,2.73094,2.06e-05,0,0,0,0,0,0.3437,NA
846,14,"VCC",1,"0",11,0,0,0,0,0.0021005,1.73253,0.67674,0.88452,NA
846,14,"VSC",1,"0",7,-8.6,0.8085807,0.0001121,0,0,0,0,0.98517,NA
846,14,"IAVC",1,"0",20,0.57774,0.0089598,0,1.324e-08,0,0,0,0.35805,NA
846,14,"VLE",1,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,14,"VCC",2,"0",11,0,0,0,0,0.0021005,1.73253,0.67674,0.88452,NA
846,14,"VSC",2,"0",7,-8.6,0.8085807,0.0001121,0,0,0,0,0.98517,NA
846,14,"IAVC",2,"0",20,0.57774,0.0089598,0,1.324e-08,0,0,0,0.35805,NA
846,14,"VLE",2,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
