"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2"
44,"Teruel",57,"Salix spp.","VSC",2,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
44,"Teruel",258,"Populus x canadensis","VCC",5,"0",11,0,0,0,0,0.0008339,1.66683,1.25789,0.98531
44,"Teruel",12,"Malus sylvestris","VSC",4,"0",7,-3,0.8497195,0.000114,0,0,0,0,0.99208
44,"Teruel",24,"Pinus halepensis","VCC",5,"0",11,0,0,0,0,0.002453,1.8128,0.43771,1
44,"Teruel",52,"Populus tremula","VLE",2,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
44,"Teruel",258,"Populus x canadensis","VSC",5,"0",7,-9.63,0.8823725,-3.22e-05,0,0,0,0,0.99558
44,"Teruel",56,"Ulmus minor","VCC",5,"0",11,0,0,0,0,0.0007316,1.86222,0.94326,0.94518
44,"Teruel",276,"Acer monspessulanum","VSC",3,"0",7,-4.44,0.8334608,8.16e-05,0,0,0,0,0.99071
44,"Teruel",58,"Populus nigra","IAVC",3,"0",14,0,0,0,0,0.1250664,0.92146,0,0.172674596
44,"Teruel",45,"Quercus ilex","VCC",5,"0",11,0,0,0,0,0.0007374,1.94604,0.68735,0.99914
44,"Teruel",58,"Populus nigra","VCC",5,"0",11,0,0,0,0,0.0008339,1.66683,1.25789,0.98531
44,"Teruel",22,"Pinus uncinata","VCC",3,"0",11,0,0,0,0,0.0032009,1.81969,0.30465,0.96883
44,"Teruel",51,"Populus alba","VLE",5,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
44,"Teruel",44,"Quercus faginea","VLE",3,"0",12,0,0,0,0,3.63e-05,2.46992,0,0.60078
44,"Teruel",57,"Salix spp.","VLE",6,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
44,"Teruel",39,"Juniperus phoenicea","IAVC",5,"0",19,-0.17965,0.0090065,1.08e-05,-1.071e-08,0,0,0,0.432208242
44,"Teruel",21,"Pinus sylvestris","VCC",3,"0",11,0,0,0,0,0.0004023,2.17955,0.41674,0.95308
44,"Teruel",38,"Juniperus thurifera","VSC",2,"0",7,-7.28,0.8910046,1.53e-05,0,0,0,0,0.99376
44,"Teruel",24,"Pinus halepensis","VSC",3,"0",7,4.5,0.4819241,0.0018167,0,0,0,0,0.966
44,"Teruel",55,"Fraxinus angustifolia","VSC",3,"0",7,-6.18,0.8544607,-5.8e-06,0,0,0,0,0.99463
44,"Teruel",25,"Pinus nigra","VCC",3,"0",11,0,0,0,0,0.0001982,2.31797,0.43183,0.98697
44,"Teruel",12,"Malus sylvestris","VCC",1,"0",11,0,0,0,0,0.0013079,1.89867,0.41737,0.8391
44,"Teruel",43,"Quercus pyrenaica","VSC",5,"0",7,-7.95,0.8328531,4.35e-05,0,0,0,0,0.99805
44,"Teruel",357,"Salix atrocinerea","IAVC",5,"0",14,0,0,0,0,0.1250664,0.92146,0,0.172674596
44,"Teruel",58,"Populus nigra","VSC",3,"0",7,-9.63,0.8823725,-3.22e-05,0,0,0,0,0.99558
44,"Teruel",215,"Crataegus monogyna","VCC",3,"0",11,0,0,0,0,0.0013079,1.89867,0.41737,0.8391
44,"Teruel",21,"Pinus sylvestris","VCC",2,"0",11,0,0,0,0,0.0005197,1.94303,0.98798,0.9939
44,"Teruel",37,"Juniperus communis","VCC",2,"0",11,0,0,0,0,0.0017596,1.83627,0.56894,0.88435
44,"Teruel",25,"Pinus nigra","IAVC",2,"0",19,-2.04119,0.0323556,2.43e-05,-3.866e-08,0,0,0,0.3634729
44,"Teruel",258,"Populus x canadensis","VSC",3,"0",7,-9.63,0.8823725,-3.22e-05,0,0,0,0,0.99558
44,"Teruel",258,"Populus x canadensis","VCC",2,"0",11,0,0,0,0,0.0008339,1.66683,1.25789,0.98531
44,"Teruel",215,"Crataegus monogyna","VSC",3,"0",7,-3,0.8497195,0.000114,0,0,0,0,0.99208
44,"Teruel",45,"Quercus ilex","VCC",3,"0",11,0,0,0,0,0.0001218,2.46286,0.26215,0.98962
44,"Teruel",258,"Populus x canadensis","VCC",3,"0",11,0,0,0,0,0.0008339,1.66683,1.25789,0.98531
44,"Teruel",44,"Quercus faginea","VCC",3,"0",11,0,0,0,0,0.0001044,2.46892,0.34604,0.97874
44,"Teruel",22,"Pinus uncinata","IAVC",2,"0",19,-1.06707,0.0226467,7.73e-05,-9.655e-08,0,0,0,0.354108807
44,"Teruel",257,"Salix alba","IAVC",5,"0",14,0,0,0,0,0.1250664,0.92146,0,0.172674596
44,"Teruel",45,"Quercus ilex","IAVC",3,"0",20,-0.29927,0.0086409,0,-7.81e-09,0,0,0,0.394811652
44,"Teruel",25,"Pinus nigra","VCC",5,"0",11,0,0,0,0,0.001566,1.9112,0.41883,1
44,"Teruel",215,"Crataegus monogyna","VLE",5,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
44,"Teruel",12,"Malus sylvestris","VSC",3,"0",7,-3,0.8497195,0.000114,0,0,0,0,0.99208
44,"Teruel",38,"Juniperus thurifera","VLE",2,"0",12,0,0,0,0,2.49e-05,2.44751,0,0.49748
44,"Teruel",236,"Cupressus arizonica","VLE",2,"0",12,0,0,0,0,4.53e-05,2.33124,0,0.42727
44,"Teruel",45,"Quercus ilex","VCC",4,"0",11,0,0,0,0,0.001669,1.8595,0.33648,0.9625
44,"Teruel",237,"Juniperus oxycedrus","VLE",2,"0",12,0,0,0,0,7.3e-05,2.28991,0,0.42326
44,"Teruel",75,"Juglans regia","VSC",4,"0",7,1.34,0.7876609,2.12e-05,0,0,0,0,0.99597
44,"Teruel",13,"Celtis australis","VLE",1,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
44,"Teruel",57,"Salix spp.","IAVC",4,"0",14,0,0,0,0,0.1250664,0.92146,0,0.172674596
44,"Teruel",257,"Salix alba","VSC",5,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
44,"Teruel",257,"Salix alba","VCC",5,"0",11,0,0,0,0,0.0004732,1.98799,0.75629,0.9433
44,"Teruel",24,"Pinus halepensis","VSC",5,"0",7,-2.28,0.7358032,0.0001363,0,0,0,0,0.99165
44,"Teruel",14,"Taxus baccata","VLE",5,"0",12,0,0,0,0,0.0001534,2.09834,0,0.38717
44,"Teruel",56,"Ulmus minor","VLE",2,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
44,"Teruel",55,"Fraxinus angustifolia","VLE",4,"0",12,0,0,0,0,2.71e-05,2.51797,0,0.54735
44,"Teruel",57,"Salix spp.","VCC",4,"0",11,0,0,0,0,0.0004732,1.98799,0.75629,0.9433
44,"Teruel",26,"Pinus pinaster","VCC",5,"0",11,0,0,0,0,0.000401,2.02744,0.8942,0.99094
44,"Teruel",25,"Pinus nigra","VSC",3,"0",7,0.22,0.6425563,0.0004105,0,0,0,0,0.97247
44,"Teruel",43,"Quercus pyrenaica","VSC",3,"0",7,-0.73,0.7016988,0.000107,0,0,0,0,0.96492
44,"Teruel",237,"Juniperus oxycedrus","VCC",2,"0",11,0,0,0,0,0.0017596,1.83627,0.56894,0.88435
44,"Teruel",57,"Salix spp.","IAVC",5,"0",14,0,0,0,0,0.1250664,0.92146,0,0.172674596
44,"Teruel",276,"Acer monspessulanum","VLE",3,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
44,"Teruel",44,"Quercus faginea","IAVC",3,"0",13,1.15472,0.0169405,-125.4326146,0,0,0,0,0.404322367
44,"Teruel",257,"Salix alba","VSC",2,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
44,"Teruel",51,"Populus alba","VLE",2,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
44,"Teruel",13,"Celtis australis","VLE",2,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
44,"Teruel",237,"Juniperus oxycedrus","IAVC",5,"0",19,-0.17965,0.0090065,1.08e-05,-1.071e-08,0,0,0,0.432208242
44,"Teruel",25,"Pinus nigra","VSC",5,"0",7,-1.21,0.681514,0.000103,0,0,0,0,0.99367
44,"Teruel",75,"Juglans regia","VCC",2,"0",11,0,0,0,0,0.0052529,1.41567,1.11603,0.86113
44,"Teruel",44,"Quercus faginea","VLE",5,"0",12,0,0,0,0,3.63e-05,2.46992,0,0.60078
44,"Teruel",24,"Pinus halepensis","IAVC",2,"0",19,-0.98983,0.0064105,0.0002101,-3.6693e-07,0,0,0,0.389787164
44,"Teruel",39,"Juniperus phoenicea","VLE",5,"0",12,0,0,0,0,2.49e-05,2.44751,0,0.49748
44,"Teruel",57,"Salix spp.","IAVC",3,"0",14,0,0,0,0,0.1250664,0.92146,0,0.172674596
44,"Teruel",24,"Pinus halepensis","VLE",3,"0",12,0,0,0,0,4.53e-05,2.33124,0,0.42727
44,"Teruel",26,"Pinus pinaster","IAVC",2,"0",19,-2.82027,0.0520331,-0.0001021,2.0898e-07,0,0,0,0.374160672
44,"Teruel",357,"Salix atrocinerea","VLE",5,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
44,"Teruel",52,"Populus tremula","VSC",2,"0",7,-9.63,0.8823725,-3.22e-05,0,0,0,0,0.99558
44,"Teruel",44,"Quercus faginea","VLE",4,"0",12,0,0,0,0,3.63e-05,2.46992,0,0.60078
44,"Teruel",299,"Ficus carica","VLE",5,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
44,"Teruel",13,"Celtis australis","VSC",5,"0",7,-3,0.8497195,0.000114,0,0,0,0,0.99208
44,"Teruel",65,"Ilex aquifolium","VLE",5,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
44,"Teruel",45,"Quercus ilex","IAVC",5,"0",20,-0.29927,0.0086409,0,-7.81e-09,0,0,0,0.394811652
44,"Teruel",258,"Populus x canadensis","VSC",2,"0",7,-9.63,0.8823725,-3.22e-05,0,0,0,0,0.99558
44,"Teruel",45,"Quercus ilex","VLE",4,"0",12,0,0,0,0,3.19e-05,2.56596,0,0.60909
44,"Teruel",43,"Quercus pyrenaica","VLE",5,"0",12,0,0,0,0,9.44e-05,2.27236,0,0.49283
44,"Teruel",236,"Cupressus arizonica","VSC",2,"0",7,-5.52,0.7291889,4.85e-05,0,0,0,0,0.9906
44,"Teruel",75,"Juglans regia","VSC",2,"0",7,1.34,0.7876609,2.12e-05,0,0,0,0,0.99597
44,"Teruel",65,"Ilex aquifolium","VSC",5,"0",7,-3,0.8497195,0.000114,0,0,0,0,0.99208
44,"Teruel",43,"Quercus pyrenaica","VCC",3,"0",11,0,0,0,0,7.04e-05,2.59374,0.23126,0.95302
44,"Teruel",44,"Quercus faginea","VLE",2,"0",12,0,0,0,0,3.63e-05,2.46992,0,0.60078
44,"Teruel",56,"Ulmus minor","VSC",5,"0",7,-7.8,0.8086976,1.7e-06,0,0,0,0,0.99486
44,"Teruel",66,"Olea europaea","VLE",5,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
44,"Teruel",52,"Populus tremula","IAVC",2,"0",14,0,0,0,0,0.1250664,0.92146,0,0.172674596
44,"Teruel",24,"Pinus halepensis","VLE",2,"0",12,0,0,0,0,4.53e-05,2.33124,0,0.42727
44,"Teruel",75,"Juglans regia","IAVC",5,"0",19,-3.06784,0.0474165,-0.0001499,1.7528e-07,0,0,0,0.568638094
44,"Teruel",257,"Salix alba","IAVC",2,"0",14,0,0,0,0,0.1250664,0.92146,0,0.172674596
44,"Teruel",75,"Juglans regia","IAVC",4,"0",19,-3.06784,0.0474165,-0.0001499,1.7528e-07,0,0,0,0.568638094
44,"Teruel",14,"Taxus baccata","IAVC",5,"0",19,-1.06707,0.0226467,7.73e-05,-9.655e-08,0,0,0,0.354108807
44,"Teruel",58,"Populus nigra","IAVC",5,"0",14,0,0,0,0,0.1250664,0.92146,0,0.172674596
44,"Teruel",66,"Olea europaea","VCC",5,"0",11,0,0,0,0,0.0013079,1.89867,0.41737,0.8391
44,"Teruel",43,"Quercus pyrenaica","VLE",3,"0",12,0,0,0,0,9.44e-05,2.27236,0,0.49283
44,"Teruel",58,"Populus nigra","VCC",3,"0",11,0,0,0,0,0.0008339,1.66683,1.25789,0.98531
44,"Teruel",26,"Pinus pinaster","IAVC",5,"0",19,-2.82027,0.0520331,-0.0001021,2.0898e-07,0,0,0,0.374160672
44,"Teruel",357,"Salix atrocinerea","VSC",5,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
44,"Teruel",236,"Cupressus arizonica","VSC",3,"0",7,4.5,0.4819241,0.0018167,0,0,0,0,0.966
44,"Teruel",37,"Juniperus communis","VLE",5,"0",12,0,0,0,0,7.3e-05,2.28991,0,0.42326
44,"Teruel",95,"Prunus spp.","VSC",2,"0",7,-3,0.8497195,0.000114,0,0,0,0,0.99208
44,"Teruel",12,"Malus sylvestris","VLE",2,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
44,"Teruel",38,"Juniperus thurifera","VCC",5,"0",11,0,0,0,0,0.0028903,1.71624,0.70819,0.90933
44,"Teruel",45,"Quercus ilex","VLE",5,"0",12,0,0,0,0,3.19e-05,2.56596,0,0.60909
44,"Teruel",21,"Pinus sylvestris","VSC",5,"0",7,-2.23,0.8131036,6.9e-05,0,0,0,0,0.99537
44,"Teruel",215,"Crataegus monogyna","VSC",5,"0",7,-3,0.8497195,0.000114,0,0,0,0,0.99208
44,"Teruel",12,"Malus sylvestris","VLE",4,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
44,"Teruel",237,"Juniperus oxycedrus","IAVC",2,"0",19,-0.17965,0.0090065,1.08e-05,-1.071e-08,0,0,0,0.432208242
44,"Teruel",57,"Salix spp.","VSC",6,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
44,"Teruel",51,"Populus alba","VSC",5,"0",7,-9.63,0.8823725,-3.22e-05,0,0,0,0,0.99558
