"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2"
18,"Granada",11,"Ailanthus altissima","IAVC",2,"0",14,0,0,0,0,2.47e-05,2.02151,0,0.6875
18,"Granada",99,"Otras frondosas","VLE",5,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
18,"Granada",36,"Cupressus sempervirens","VLE",3,"0",12,0,0,0,0,5.64e-05,2.24028,0,0.40058
18,"Granada",11,"Ailanthus altissima","VLE",5,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
18,"Granada",43,"Quercus pyrenaica","VSC",2,"0",7,-1.9,0.7832259,3.3e-05,0,0,0,0,0.99393
18,"Granada",23,"Pinus pinea","VSC",4,"0",7,-7.53,0.7576767,6e-05,0,0,0,0,0.99173
18,"Granada",25,"Pinus nigra","VCC",3,"0",11,0,0,0,0,0.0002429,2.28505,0.40417,0.9828
18,"Granada",24,"Pinus halepensis","VSC",1,"0",7,-3.98,0.7446766,5.9e-05,0,0,0,0,0.9932
18,"Granada",95,"Prunus spp.","VSC",5,"0",7,-5.12,0.8635482,-3.9e-06,0,0,0,0,0.99826
18,"Granada",22,"Pinus uncinata","VLE",2,"0",12,0,0,0,0,0.0001534,2.09834,0,0.38717
18,"Granada",56,"Ulmus minor","VSC",2,"0",7,-7.8,0.8086976,1.7e-06,0,0,0,0,0.99486
18,"Granada",11,"Ailanthus altissima","VSC",3,"0",7,0.47,0.7793051,7.29e-05,0,0,0,0,0.99782
18,"Granada",55,"Fraxinus angustifolia","VCC",3,"0",11,0,0,0,0,0.0011227,1.84869,0.7592,0.90976
18,"Granada",476,"Acer opalus","VLE",4,"0",12,0,0,0,0,0.0010626,1.85153,0,0.40424
18,"Granada",36,"Cupressus sempervirens","VCC",1,"0",11,0,0,0,0,0.0004845,1.99829,0.87931,0.98578
18,"Granada",336,"Cupressus lusitanica","VCC",5,"0",11,0,0,0,0,0.0004845,1.99829,0.87931,0.98578
18,"Granada",92,"Robinia pseudacacia","IAVC",5,"0",13,2.08279,0.0135412,-188.4722222,0,0,0,0,0.36382
18,"Granada",15,"Crataegus spp.","VSC",3,"0",7,0.47,0.7793051,7.29e-05,0,0,0,0,0.99782
18,"Granada",13,"Celtis australis","IAVC",5,"0",14,0,0,0,0,2.47e-05,2.02151,0,0.6875
18,"Granada",92,"Robinia pseudacacia","VCC",5,"0",11,0,0,0,0,0.0004732,1.98799,0.75629,0.9433
18,"Granada",23,"Pinus pinea","VLE",5,"0",12,0,0,0,0,8e-07,3.04558,0,0.62681
18,"Granada",93,"Pistacia terebinthus","IAVC",5,"0",14,0,0,0,0,2.47e-05,2.02151,0,0.6875
18,"Granada",26,"Pinus pinaster","IAVC",2,"0",13,9.87049,0.0598863,-237.5810171,0,0,0,0,0.45211
18,"Granada",215,"Crataegus monogyna","IAVC",3,"0",14,0,0,0,0,2.47e-05,2.02151,0,0.6875
18,"Granada",22,"Pinus uncinata","IAVC",3,"0",21,0,0,0.0003007,-3.3282e-07,0,0,0,0.70073
18,"Granada",11,"Ailanthus altissima","VSC",4,"0",7,-8.76,0.8513181,1.48e-05,0,0,0,0,0.99628
18,"Granada",258,"Populus x canadensis","VSC",5,"0",7,-18.29,0.8855354,-3.04e-05,0,0,0,0,0.9833
18,"Granada",15,"Crataegus spp.","IAVC",2,"0",14,0,0,0,0,2.47e-05,2.02151,0,0.6875
18,"Granada",23,"Pinus pinea","VCC",5,"0",11,0,0,0,0,0.0005672,1.92039,0.8827,0.96712
18,"Granada",95,"Prunus spp.","VCC",4,"0",11,0,0,0,0,0.001823,1.8905,0.25855,0.95695
18,"Granada",45,"Quercus ilex","IAVC",4,"0",13,1.19658,0.0072199,-160.1453229,0,0,0,0,0.23205
18,"Granada",29,"Otros pinos","VLE",3,"0",12,0,0,0,0,5.64e-05,2.24028,0,0.40058
18,"Granada",95,"Prunus spp.","VCC",2,"0",11,0,0,0,0,0.0010355,1.82111,0.8893,0.97283
18,"Granada",276,"Acer monspessulanum","VSC",5,"0",7,-4.44,0.8334608,8.16e-05,0,0,0,0,0.99071
18,"Granada",17,"Cedrus atlantica","IAVC",2,"0",13,9.87049,0.0598863,-237.5810171,0,0,0,0,0.45211
18,"Granada",258,"Populus x canadensis","VSC",3,"0",7,-18.29,0.8855354,-3.04e-05,0,0,0,0,0.9833
18,"Granada",57,"Salix spp.","VLE",3,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
18,"Granada",757,"Salix elaeagnos","IAVC",4,"0",13,2.08279,0.0135412,-188.4722222,0,0,0,0,0.36382
