"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2"
19,"Guadalajara",23,"Pinus pinea","IAVC",4,"0",19,-0.22667,0.0192785,9.35e-05,-1.4471e-07,0,0,0,0.423096754
19,"Guadalajara",395,"Prunus avium","VCC",5,"0",11,0,0,0,0,0.0006992,1.93911,0.6876,0.98264
19,"Guadalajara",237,"Juniperus oxycedrus","VLE",5,"0",12,0,0,0,0,7.3e-05,2.28991,0,0.42326
19,"Guadalajara",36,"Cupressus sempervirens","VCC",3,"0",11,0,0,0,0,0.000487,2.17385,0.32291,0.96513
19,"Guadalajara",21,"Pinus sylvestris","IAVC",3,"0",13,9.93589,0.0488047,-247.8798298,0,0,0,0,0.383564777
19,"Guadalajara",23,"Pinus pinea","IAVC",5,"0",19,-0.22667,0.0192785,9.35e-05,-1.4471e-07,0,0,0,0.423096754
19,"Guadalajara",51,"Populus alba","VCC",3,"0",11,0,0,0,0,0.0003503,1.91641,1.07611,0.98678
19,"Guadalajara",93,"Pistacia terebinthus","IAVC",5,"0",19,-1.95266,0.0349183,-7.25e-05,5.822e-08,0,0,0,0.443615313
19,"Guadalajara",378,"Sorbus aucuparia","VCC",4,"0",11,0,0,0,0,0.0021642,1.92204,0.0941,0.95182
19,"Guadalajara",276,"Acer monspessulanum","VSC",5,"0",7,-4.44,0.8334608,8.16e-05,0,0,0,0,0.99071
19,"Guadalajara",42,"Quercus petraea","VCC",3,"0",11,0,0,0,0,0.0003437,2.22657,0.30787,0.95559
19,"Guadalajara",25,"Pinus nigra","VCC",5,"0",11,0,0,0,0,0.001566,1.9112,0.41883,1
19,"Guadalajara",25,"Pinus nigra","VSC",1,"0",7,-6.56,0.7003968,3.15e-05,0,0,0,0,0.99352
19,"Guadalajara",76,"Acer campestre","IAVC",2,"0",19,-1.95266,0.0349183,-7.25e-05,5.822e-08,0,0,0,0.443615313
19,"Guadalajara",53,"Tamarix spp.","VLE",2,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
19,"Guadalajara",57,"Salix spp.","VCC",3,"0",11,0,0,0,0,0.0004732,1.98799,0.75629,0.9433
19,"Guadalajara",273,"Betula alba","VSC",4,"0",7,-1.94,0.9070291,1.79e-05,0,0,0,0,0.99861
19,"Guadalajara",45,"Quercus ilex","VSC",2,"0",7,-6.16,0.8341276,4.47e-05,0,0,0,0,0.99674
19,"Guadalajara",66,"Olea europaea","VCC",5,"0",11,0,0,0,0,0.0013079,1.89867,0.41737,0.8391
19,"Guadalajara",56,"Ulmus minor","VLE",5,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
19,"Guadalajara",24,"Pinus halepensis","IAVC",2,"0",19,-0.22667,0.0192785,9.35e-05,-1.4471e-07,0,0,0,0.423096754
19,"Guadalajara",237,"Juniperus oxycedrus","VLE",1,"0",12,0,0,0,0,7.3e-05,2.28991,0,0.42326
19,"Guadalajara",45,"Quercus ilex","VCC",2,"0",11,0,0,0,0,0.0017845,1.89535,0.46047,0.99335
19,"Guadalajara",258,"Populus x canadensis","IAVC",2,"0",21,0,0,0.0005421,-6.7978e-07,0,0,0,0.747587904
19,"Guadalajara",395,"Prunus avium","VSC",5,"0",7,-3.37,0.9223876,2.1e-06,0,0,0,0,0.9989
19,"Guadalajara",54,"Alnus glutinosa","IAVC",3,"0",21,0,0,0.0005421,-6.7978e-07,0,0,0,0.747587904
19,"Guadalajara",93,"Pistacia terebinthus","IAVC",3,"0",19,-1.95266,0.0349183,-7.25e-05,5.822e-08,0,0,0,0.443615313
19,"Guadalajara",39,"Juniperus phoenicea","IAVC",2,"0",19,0.24072,0.0048314,4.05e-05,-4.444e-08,0,0,0,0.36840516
19,"Guadalajara",34,"Pseudotsuga menziesii","IAVC",2,"0",19,-1.19243,0.031285,7.03e-05,-7.549e-08,0,0,0,0.426506537
19,"Guadalajara",257,"Salix alba","VSC",2,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
19,"Guadalajara",258,"Populus x canadensis","IAVC",5,"0",21,0,0,0.0005421,-6.7978e-07,0,0,0,0.747587904
19,"Guadalajara",26,"Pinus pinaster","IAVC",3,"0",20,-1.54408,0.0585359,0,-9.636e-08,0,0,0,0.176374628
19,"Guadalajara",399,"Morus spp.","VSC",4,"0",7,-1.94,0.9070291,1.79e-05,0,0,0,0,0.99861
19,"Guadalajara",38,"Juniperus thurifera","VSC",2,"0",7,-7.28,0.8910046,1.53e-05,0,0,0,0,0.99376
19,"Guadalajara",95,"Prunus spp.","VSC",2,"0",7,-4.04,0.9169635,3.1e-06,0,0,0,0,0.99872
19,"Guadalajara",26,"Pinus pinaster","VLE",2,"0",12,0,0,0,0,5.64e-05,2.24028,0,0.40058
19,"Guadalajara",237,"Juniperus oxycedrus","IAVC",5,"0",19,0.24072,0.0048314,4.05e-05,-4.444e-08,0,0,0,0.36840516
19,"Guadalajara",276,"Acer monspessulanum","IAVC",5,"0",19,-1.95266,0.0349183,-7.25e-05,5.822e-08,0,0,0,0.443615313
19,"Guadalajara",45,"Quercus ilex","VLE",3,"0",12,0,0,0,0,3.19e-05,2.56596,0,0.60909
19,"Guadalajara",71,"Fagus sylvatica","VCC",3,"0",11,0,0,0,0,0.0005395,2.16937,0.21927,0.93533
19,"Guadalajara",75,"Juglans regia","VLE",2,"0",12,0,0,0,0,1e-07,3.52547,0,0.74422
19,"Guadalajara",51,"Populus alba","VLE",2,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
19,"Guadalajara",58,"Populus nigra","VLE",1,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
19,"Guadalajara",45,"Quercus ilex","VLE",2,"0",12,0,0,0,0,3.19e-05,2.56596,0,0.60909
19,"Guadalajara",399,"Morus spp.","VLE",4,"0",12,0,0,0,0,4.66e-05,2.38142,0,0.53198
19,"Guadalajara",71,"Fagus sylvatica","VLE",2,"0",12,0,0,0,0,4.66e-05,2.38142,0,0.53198
19,"Guadalajara",66,"Olea europaea","IAVC",5,"0",19,-1.95266,0.0349183,-7.25e-05,5.822e-08,0,0,0,0.443615313
19,"Guadalajara",239,"Juniperus sabina","VSC",5,"0",7,-7.28,0.8910046,1.53e-05,0,0,0,0,0.99376
19,"Guadalajara",56,"Ulmus minor","VSC",3,"0",7,-7.8,0.8086976,1.7e-06,0,0,0,0,0.99486
19,"Guadalajara",258,"Populus x canadensis","VLE",1,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
19,"Guadalajara",76,"Acer campestre","VCC",1,"0",11,0,0,0,0,0.0017568,1.68729,0.93055,0.82875
19,"Guadalajara",92,"Robinia pseudacacia","VCC",5,"0",11,0,0,0,0,0.0003503,1.91641,1.07611,0.98678
19,"Guadalajara",34,"Pseudotsuga menziesii","VSC",2,"0",7,-6.56,0.7003968,3.15e-05,0,0,0,0,0.99352
19,"Guadalajara",395,"Prunus avium","VLE",2,"0",12,0,0,0,0,4.66e-05,2.38142,0,0.53198
19,"Guadalajara",257,"Salix alba","IAVC",3,"0",21,0,0,0.0005421,-6.7978e-07,0,0,0,0.747587904
19,"Guadalajara",36,"Cupressus sempervirens","IAVC",3,"0",19,-0.22667,0.0192785,9.35e-05,-1.4471e-07,0,0,0,0.423096754
19,"Guadalajara",395,"Prunus avium","VCC",3,"0",11,0,0,0,0,0.0005395,2.16937,0.21927,0.93533
19,"Guadalajara",276,"Acer monspessulanum","VCC",3,"0",11,0,0,0,0,0.0017568,1.68729,0.93055,0.82875
19,"Guadalajara",95,"Prunus spp.","VLE",2,"0",12,0,0,0,0,4.66e-05,2.38142,0,0.53198
19,"Guadalajara",378,"Sorbus aucuparia","VCC",5,"0",11,0,0,0,0,0.0006992,1.93911,0.6876,0.98264
19,"Guadalajara",56,"Ulmus minor","VLE",3,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
19,"Guadalajara",239,"Juniperus sabina","VCC",1,"0",11,0,0,0,0,0.0028903,1.71624,0.70819,0.90933
19,"Guadalajara",39,"Juniperus phoenicea","VSC",5,"0",7,-7.28,0.8910046,1.53e-05,0,0,0,0,0.99376
19,"Guadalajara",237,"Juniperus oxycedrus","VCC",1,"0",11,0,0,0,0,0.0017596,1.83627,0.56894,0.88435
19,"Guadalajara",237,"Juniperus oxycedrus","IAVC",1,"0",19,0.24072,0.0048314,4.05e-05,-4.444e-08,0,0,0,0.36840516
19,"Guadalajara",237,"Juniperus oxycedrus","VCC",2,"0",11,0,0,0,0,0.0017596,1.83627,0.56894,0.88435
19,"Guadalajara",53,"Tamarix spp.","VLE",3,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
19,"Guadalajara",25,"Pinus nigra","VLE",1,"0",12,0,0,0,0,2.5e-05,2.41169,0,0.44123
19,"Guadalajara",273,"Betula alba","VLE",3,"0",12,0,0,0,0,4.66e-05,2.38142,0,0.53198
19,"Guadalajara",236,"Cupressus arizonica","VSC",5,"0",7,-2.18,0.706426,0.0001487,0,0,0,0,0.99364
19,"Guadalajara",239,"Juniperus sabina","VCC",3,"0",11,0,0,0,0,0.0028903,1.71624,0.70819,0.90933
19,"Guadalajara",399,"Morus spp.","VLE",3,"0",12,0,0,0,0,4.66e-05,2.38142,0,0.53198
19,"Guadalajara",276,"Acer monspessulanum","VCC",5,"0",11,0,0,0,0,0.0017568,1.68729,0.93055,0.82875
19,"Guadalajara",273,"Betula alba","VCC",3,"0",11,0,0,0,0,0.0005395,2.16937,0.21927,0.93533
19,"Guadalajara",45,"Quercus ilex","IAVC",3,"0",13,1.10608,0.0104759,-134.7067882,0,0,0,0,0.398595629
19,"Guadalajara",53,"Tamarix spp.","VLE",5,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
19,"Guadalajara",399,"Morus spp.","VLE",5,"0",12,0,0,0,0,4.66e-05,2.38142,0,0.53198
19,"Guadalajara",45,"Quercus ilex","VLE",5,"0",12,0,0,0,0,3.19e-05,2.56596,0,0.60909
19,"Guadalajara",36,"Cupressus sempervirens","IAVC",2,"0",19,-0.22667,0.0192785,9.35e-05,-1.4471e-07,0,0,0,0.423096754
19,"Guadalajara",39,"Juniperus phoenicea","VSC",2,"0",7,-7.28,0.8910046,1.53e-05,0,0,0,0,0.99376
19,"Guadalajara",24,"Pinus halepensis","IAVC",5,"0",19,-0.22667,0.0192785,9.35e-05,-1.4471e-07,0,0,0,0.423096754
19,"Guadalajara",92,"Robinia pseudacacia","VSC",5,"0",7,5.37,0.7713033,3.47e-05,0,0,0,0,0.99497
19,"Guadalajara",215,"Crataegus monogyna","VCC",4,"0",11,0,0,0,0,0.0021642,1.92204,0.0941,0.95182
19,"Guadalajara",395,"Prunus avium","VSC",3,"0",7,-0.86,0.9067564,-7.24e-05,0,0,0,0,0.99547
19,"Guadalajara",76,"Acer campestre","VLE",5,"0",12,0,0,0,0,0.0010626,1.85153,0,0.40424
19,"Guadalajara",21,"Pinus sylvestris","VSC",5,"0",7,-4.6,0.8248336,3.94e-05,0,0,0,0,0.9975
19,"Guadalajara",44,"Quercus faginea","IAVC",4,"0",19,-1.95266,0.0349183,-7.25e-05,5.822e-08,0,0,0,0.443615313
19,"Guadalajara",44,"Quercus faginea","VLE",3,"0",12,0,0,0,0,3.63e-05,2.46992,0,0.60078
19,"Guadalajara",58,"Populus nigra","IAVC",5,"0",21,0,0,0.0005421,-6.7978e-07,0,0,0,0.747587904
19,"Guadalajara",239,"Juniperus sabina","VSC",3,"0",7,-7.28,0.8910046,1.53e-05,0,0,0,0,0.99376
19,"Guadalajara",26,"Pinus pinaster","VCC",5,"0",11,0,0,0,0,0.001804,1.94148,0.23041,1
19,"Guadalajara",56,"Ulmus minor","IAVC",5,"0",19,-1.95266,0.0349183,-7.25e-05,5.822e-08,0,0,0,0.443615313
19,"Guadalajara",66,"Olea europaea","VLE",3,"0",12,0,0,0,0,0.0090069,1.42613,0,0.24155
19,"Guadalajara",239,"Juniperus sabina","VSC",2,"0",7,-7.28,0.8910046,1.53e-05,0,0,0,0,0.99376
19,"Guadalajara",39,"Juniperus phoenicea","VLE",1,"0",12,0,0,0,0,2.49e-05,2.44751,0,0.49748
19,"Guadalajara",236,"Cupressus arizonica","VSC",3,"0",7,3.06,0.5898348,-7.4e-05,0,0,0,0,0.91192
19,"Guadalajara",25,"Pinus nigra","VCC",1,"0",11,0,0,0,0,0.0004892,2.00846,0.86583,0.99695
19,"Guadalajara",215,"Crataegus monogyna","VSC",5,"0",7,-3.37,0.9223876,2.1e-06,0,0,0,0,0.9989
19,"Guadalajara",24,"Pinus halepensis","VCC",2,"0",11,0,0,0,0,0.001014,1.89836,0.75297,0.99141
19,"Guadalajara",75,"Juglans regia","VCC",4,"0",11,0,0,0,0,0.0052529,1.41567,1.11603,0.86113
19,"Guadalajara",42,"Quercus petraea","VLE",2,"0",12,0,0,0,0,0.0003791,2.02691,0,0.48942
19,"Guadalajara",57,"Salix spp.","VCC",2,"0",11,0,0,0,0,0.0004732,1.98799,0.75629,0.9433
19,"Guadalajara",45,"Quercus ilex","IAVC",2,"0",13,1.10608,0.0104759,-134.7067882,0,0,0,0,0.398595629
19,"Guadalajara",399,"Morus spp.","VCC",5,"0",11,0,0,0,0,0.0006992,1.93911,0.6876,0.98264
19,"Guadalajara",95,"Prunus spp.","IAVC",5,"0",19,-1.95266,0.0349183,-7.25e-05,5.822e-08,0,0,0,0.443615313
19,"Guadalajara",66,"Olea europaea","IAVC",4,"0",19,-1.95266,0.0349183,-7.25e-05,5.822e-08,0,0,0,0.443615313
19,"Guadalajara",237,"Juniperus oxycedrus","VLE",2,"0",12,0,0,0,0,7.3e-05,2.28991,0,0.42326
19,"Guadalajara",26,"Pinus pinaster","IAVC",5,"0",20,-1.54408,0.0585359,0,-9.636e-08,0,0,0,0.176374628
19,"Guadalajara",258,"Populus x canadensis","IAVC",3,"0",21,0,0,0.0005421,-6.7978e-07,0,0,0,0.747587904
