"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2"
25,"Lleida",44,"Quercus faginea","VLE",5,"0",12,0,0,0,0,3.63e-05,2.46992,0,0.60078
25,"Lleida",92,"Robinia pseudacacia","VLE",2,"0",12,0,0,0,0,2.71e-05,2.51797,0,0.54735
25,"Lleida",66,"Olea europaea","IAVC",2,"0",13,3.62732,0.0535534,-148.5136054,0,0,0,0,0.33659
25,"Lleida",243,"Quercus pubescens","IAVC",2,"0",17,-2.09069,0.0293531,-1.3e-05,0,0,0,0,0.35556
25,"Lleida",51,"Populus alba","VLE",5,"0",12,0,0,0,0,0.0001247,2.16723,0,0.37707
25,"Lleida",71,"Fagus sylvatica","VCC",5,"0",1,140.74,0.0001395,0,0,0,0,0,0.92413
25,"Lleida",278,"Sorbus aria","VLE",1,"0",12,0,0,0,0,0.0010626,1.85153,0,0.40424
25,"Lleida",55,"Fraxinus angustifolia","VSC",2,"0",7,-6.2,0.8544971,-5.9e-06,0,0,0,0,0.99466
25,"Lleida",21,"Pinus sylvestris","VCC",2,"0",1,30.83,0.000321,0,0,0,0,0,0.98754
25,"Lleida",215,"Crataegus monogyna","VSC",1,"0",7,-4.94,0.8041414,1.86e-05,0,0,0,0,0.99213
25,"Lleida",43,"Quercus pyrenaica","VCC",4,"0",1,29.62,0.0002156,0,0,0,0,0,0.98864
25,"Lleida",12,"Malus sylvestris","VCC",3,"0",1,-5.35,0.000365,0,0,0,0,0,0
25,"Lleida",25,"Pinus nigra","VLE",2,"0",12,0,0,0,0,2.5e-05,2.41169,0,0.44123
25,"Lleida",42,"Quercus petraea","IAVC",5,"0",13,5.12658,0.0324256,-220.3913043,0,0,0,0,0.43399
25,"Lleida",276,"Acer monspessulanum","VLE",2,"0",12,0,0,0,0,0.0010626,1.85153,0,0.40424
25,"Lleida",275,"Juglans nigra","VCC",4,"0",1,37.56,0.0002307,0,0,0,0,0,0
25,"Lleida",54,"Alnus glutinosa","VCC",2,"0",1,13.04,0.0002678,0,0,0,0,0,0
25,"Lleida",74,"Corylus avellana","IAVC",3,"0",13,3.62732,0.0535534,-148.5136054,0,0,0,0,0.33659
25,"Lleida",45,"Quercus ilex","VLE",5,"0",12,0,0,0,0,3.19e-05,2.56596,0,0.60909
25,"Lleida",297,"Sambucus racemosa","IAVC",1,"0",19,-4.20852,0.0313945,0.0002046,-2.0272e-07,0,0,0,0.41494
