"Codigo_provincia","Nombre_provincia","Codigo_especie","Especie","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2"
42,"Soria",39,"Juniperus phoenicea","IAVC",2,"0",21,0,0,6.69e-05,-6.857e-08,0,0,0,0.76188
42,"Soria",58,"Populus nigra","IAVC",3,"0",20,-14.48431,0.2070015,0,-2.5497e-07,0,0,0,0.28012
42,"Soria",22,"Pinus uncinata","IAVC",2,"0",17,-3.06053,0.0716634,-2.67e-05,0,0,0,0,0.35691
42,"Soria",22,"Pinus uncinata","VLE",3,"0",12,0,0,0,0,0.0001534,2.09834,0,0.38717
42,"Soria",255,"Fraxinus excelsior","VLE",2,"0",12,0,0,0,0,2.71e-05,2.51797,0,0.54735
42,"Soria",56,"Ulmus minor","VLE",4,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
42,"Soria",258,"Populus x canadensis","IAVC",1,"0",20,-14.48431,0.2070015,0,-2.5497e-07,0,0,0,0.28012
42,"Soria",857,"Salix fragilis","VLE",2,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
42,"Soria",215,"Crataegus monogyna","VLE",5,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
42,"Soria",45,"Quercus ilex","VSC",2,"0",7,-4.4,0.8341987,1.29e-05,0,0,0,0,0.99955
42,"Soria",45,"Quercus ilex","VCC",2,"0",11,0,0,0,0,0.2245081,0.99121,0.36173,0.90886
42,"Soria",75,"Juglans regia","VLE",4,"0",12,0,0,0,0,1e-07,3.52547,0,0.74422
42,"Soria",237,"Juniperus oxycedrus","VCC",3,"0",11,0,0,0,0,0.0017596,1.83627,0.56894,0.88435
42,"Soria",99,"Otras frondosas","VSC",3,"0",7,-4.44,0.8334608,8.16e-05,0,0,0,0,0.99071
42,"Soria",51,"Populus alba","IAVC",5,"0",13,2.1005,0.0207327,-162.6298701,0,0,0,0,0.48043
42,"Soria",255,"Fraxinus excelsior","VSC",3,"0",7,-6.18,0.8544607,-5.8e-06,0,0,0,0,0.99463
42,"Soria",95,"Prunus spp.","VLE",1,"0",12,0,0,0,0,0.0010626,1.85153,0,0.40424
42,"Soria",37,"Juniperus communis","IAVC",2,"0",21,0,0,6.69e-05,-6.857e-08,0,0,0,0.76188
42,"Soria",237,"Juniperus oxycedrus","VLE",1,"0",12,0,0,0,0,7.3e-05,2.28991,0,0.42326
42,"Soria",22,"Pinus uncinata","VCC",2,"0",11,0,0,0,0,0.0005005,1.99435,0.87394,0.99656
42,"Soria",21,"Pinus sylvestris","IAVC",5,"0",17,-3.06053,0.0716634,-2.67e-05,0,0,0,0,0.35691
42,"Soria",58,"Populus nigra","VSC",2,"0",7,-25.59,0.8620728,6.2e-06,0,0,0,0,0.99732
42,"Soria",65,"Ilex aquifolium","VSC",1,"0",7,-0.79,0.8039236,2.27e-05,0,0,0,0,0.99437
42,"Soria",255,"Fraxinus excelsior","VSC",5,"0",7,-6.18,0.8544607,-5.8e-06,0,0,0,0,0.99463
42,"Soria",42,"Quercus petraea","VCC",2,"0",11,0,0,0,0,0.0011439,1.92277,0.64635,0.98608
42,"Soria",56,"Ulmus minor","VCC",5,"0",11,0,0,0,0,0.0007316,1.86222,0.94326,0.94518
42,"Soria",43,"Quercus pyrenaica","VLE",3,"0",12,0,0,0,0,9.44e-05,2.27236,0,0.49283
42,"Soria",12,"Malus sylvestris","IAVC",2,"0",13,2.1005,0.0207327,-162.6298701,0,0,0,0,0.48043
42,"Soria",237,"Juniperus oxycedrus","VLE",5,"0",12,0,0,0,0,7.3e-05,2.28991,0,0.42326
42,"Soria",99,"Otras frondosas","VCC",5,"0",11,0,0,0,0,0.0017568,1.68729,0.93055,0.82875
42,"Soria",38,"Juniperus thurifera","VLE",5,"0",12,0,0,0,0,2.49e-05,2.44751,0,0.49748
42,"Soria",257,"Salix alba","IAVC",5,"0",13,2.1005,0.0207327,-162.6298701,0,0,0,0,0.48043
42,"Soria",255,"Fraxinus excelsior","VLE",5,"0",12,0,0,0,0,2.71e-05,2.51797,0,0.54735
42,"Soria",16,"Pyrus spp.","VLE",4,"0",12,0,0,0,0,1.27e-05,2.57913,0,0.45555
42,"Soria",295,"Prunus spinosa","VSC",5,"0",7,-0.79,0.8039236,2.27e-05,0,0,0,0,0.99437
42,"Soria",76,"Acer campestre","IAVC",5,"0",13,2.1005,0.0207327,-162.6298701,0,0,0,0,0.48043
42,"Soria",44,"Quercus faginea","IAVC",4,"0",19,0.59596,0.0012903,1.54e-05,-2.89e-09,0,0,0,0.76932
42,"Soria",51,"Populus alba","VSC",2,"0",7,-6.18,0.8544607,-5.8e-06,0,0,0,0,0.99463
42,"Soria",255,"Fraxinus excelsior","VCC",2,"0",11,0,0,0,0,0.0011227,1.84869,0.7592,0.90976
42,"Soria",16,"Pyrus spp.","VCC",2,"0",11,0,0,0,0,0.0007316,1.86222,0.94326,0.94518
42,"Soria",45,"Quercus ilex","VSC",1,"0",7,-4.4,0.8341987,1.29e-05,0,0,0,0,0.99955
42,"Soria",56,"Ulmus minor","VSC",1,"0",7,-7.8,0.8086976,1.7e-06,0,0,0,0,0.99486
42,"Soria",44,"Quercus faginea","VCC",5,"0",11,0,0,0,0,0.1112689,1.15245,0.30518,0.89348
42,"Soria",42,"Quercus petraea","VLE",6,"0",12,0,0,0,0,9.44e-05,2.27236,0,0.49283
42,"Soria",23,"Pinus pinea","VSC",2,"0",7,-16.05,0.7834317,2.05e-05,0,0,0,0,0.99522
42,"Soria",257,"Salix alba","VSC",1,"0",7,-4.94,0.8041761,1.86e-05,0,0,0,0,0.99214
42,"Soria",56,"Ulmus minor","VSC",4,"0",7,-7.8,0.8086976,1.7e-06,0,0,0,0,0.99486
42,"Soria",73,"Betula spp.","VCC",1,"0",11,0,0,0,0,0.0007316,1.86222,0.94326,0.94518
42,"Soria",657,"Salix caprea","VLE",2,"0",12,0,0,0,0,0.0016601,1.7736,0,0.46356
42,"Soria",55,"Fraxinus angustifolia","VCC",4,"0",11,0,0,0,0,0.0011227,1.84869,0.7592,0.90976
42,"Soria",55,"Fraxinus angustifolia","IAVC",4,"0",13,2.1005,0.0207327,-162.6298701,0,0,0,0,0.48043
