Codigo_IFN,Nombre_Especie,Ambito_de_aplicacion,Origen,Arborea_Matorral,Grupo,Hoja
258,Populus x canadensis,,IFN4_MFE25,ARB,frondosa,
264,Eucalyptus viminalis,,IFN4_MFE25,ARB,frondosa,
268,Arbutus canariensis,,IFN4_MFE25,ARB,frondosa,
273,Betula alba,,IFN4_MFE25,ARB,frondosa,
275,Juglans nigra,,IFN4_MFE25,ARB,frondosa,
276,Acer monspessulanum,,IFN4_MFE25,ARB,frondosa,
277,Tilia cordata,,IFN4_MFE25,ARB,frondosa,
278,Sorbus aria,,IFN4_MFE25,ARB,frondosa,
279,Platanus orientalis,,IFN4_MFE25,ARB,frondosa,
281,Myrica rivas-martinezii,,IFN4_MFE25,ARB,frondosa,
282,Ilex platyphylla,,IFN4_MFE25,ARB,frondosa,
283,Erica scoparia,,IFN4_MFE25,ARB (Canarias),frondosa,
289,Pleiomeris canariensis,,IFN4_MFE25,ARB,frondosa,
292,Sophora japonica,,IFN4_MFE25,ARB,frondosa,
293,Pistacia atlantica,,IFN4_MFE25,ARB,frondosa,
294,Laurus azorica,,IFN4_MFE25,ARB,frondosa,
299,Ficus carica,,IFN4_MFE25,ARB,frondosa,
307,Acacia dealbata,,IFN4_MFE25,ARB,frondosa,
315,Crataegus laevigata,,IFN4_MFE25,ARB,frondosa,
317,Cedrus libani,,IFN4_MFE25,ARB,conifera,
319,Thuja spp.,,IFN4_MFE25,ARB,conifera,
335,Larix leptolepis,,IFN4_MFE25,ARB,conifera,
336,Cupressus lusitanica,,IFN4_MFE25,ARB,conifera,
337,Juniperus cedrus,,IFN4_MFE25,ARB,conifera,
344,Quercus alpestris,,IFN4_MFE25,ARB,frondosa,
355,Fraxinus ornus,,IFN4_MFE25,ARB,frondosa,
356,Ulmus pumila,,IFN4_MFE25,ARB,frondosa,
357,Salix atrocinerea,,IFN4_MFE25,ARB,frondosa,
364,Eucalyptus gomphocephalus,,IFN4_MFE25,ARB,frondosa,
373,Betula pendula,,IFN4_MFE25,ARB,frondosa,
376,Acer negundo,,IFN4_MFE25,ARB,frondosa,
377,Tilia platyphyllos,,IFN4_MFE25,ARB,frondosa,
378,Sorbus aucuparia,,IFN4_MFE25,ARB,frondosa,
389,Rhamnus glandulosa,,IFN4_MFE25,ARB,frondosa,
392,Gleditsia triacanthos,,IFN4_MFE25,ARB,frondosa,
395,Prunus avium,,IFN4_MFE25,ARB,frondosa,
399,Morus spp.,,IFN4_MFE25,ARB,frondosa,
415,Crataegus laciniata,,IFN4_MFE25,ARB,frondosa,
435,Larix x eurolepis,,IFN4_MFE25,ARB,conifera,
436,Cupressus macrocarpa,,IFN4_MFE25,ARB,conifera,
455,Fraxinus spp.,,IFN4_MFE25,ARB,frondosa,
456,Ulmus spp.,,IFN4_MFE25,ARB,frondosa,
457,Salix babylonica,,IFN4_MFE25,ARB,frondosa,
464,Eucalyptus robusta,,IFN4_MFE25,ARB,frondosa,
469,Phoenix canariensis,,IFN4_MFE25,ARB,frondosa,
476,Acer opalus,,IFN4_MFE25,ARB,frondosa,
478,Sorbus domestica,,IFN4_MFE25,ARB,frondosa,
489,Visnea mocanera,,IFN4_MFE25,ARB,frondosa,
495,Prunus lusitanica,,IFN4_MFE25,ARB,frondosa,
499,Morus alba,,IFN4_MFE25,ARB,frondosa,
515,Crataegus azarolus,,IFN4_MFE25,ARB,frondosa,
557,Salix cantabrica,,IFN4_MFE25,ARB,frondosa,
569,Dracaena draco,,IFN4_MFE25,ARB,frondosa,
576,Acer pseudoplatanus,,IFN4_MFE25,ARB,frondosa,
578,Sorbus torminalis,,IFN4_MFE25,ARB,frondosa,
595,Prunus padus,,IFN4_MFE25,ARB,frondosa,
599,Morus nigra,,IFN4_MFE25,ARB,frondosa,
657,Salix caprea,,IFN4_MFE25,ARB,frondosa,
676,Acer platanoides,,IFN4_MFE25,ARB,frondosa,
678,Sorbus latifolia,,IFN4_MFE25,ARB,frondosa,
757,Salix elaeagnos,,IFN4_MFE25,ARB,frondosa,
776,Acer spp.,,IFN4_MFE25,ARB,frondosa,
778,Sorbus chamaemespilus,,IFN4_MFE25,ARB,frondosa,
857,Salix fragilis,,IFN4_MFE25,ARB,frondosa,
858,Salix canariensis,,IFN4_MFE25,ARB,frondosa,
957,Salix purpurea,,IFN4_MFE25,ARB,frondosa,
101,Cistus spp.,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
102,Erica spp.,Nacional,IFN4_MFE25,MATO,,
103,Otras papilionoideas altas,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
104,Otras papilionoideas bajas,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
105,Quercus coccifera,Nacional,IFN4_MFE25,MATO,,
106,Calluna vulgaris,Nacional,IFN4_MFE25,MATO,,
107,Arctostaphylos uva-ursi,Nacional,IFN4_MFE25,MATO,,
109,Lavandula spp.,Nacional,IFN4_MFE25,MATO,,
110,Daphne spp.,Nacional,IFN4_MFE25,MATO,,
111,Pistacia lentiscus,Nacional,IFN4_MFE25,MATO,,
112,Ligustrum vulgare,Nacional,IFN4_MFE25,MATO,,
113,Phillyrea angustifolia,Nacional,IFN4_MFE25,MATO,,
114,Rosmarinus officinalis,Nacional,IFN4_MFE25,MATO,,
115,Viburnum spp.,Nacional,IFN4_MFE25,MATO,,
116,Berberis vulgaris,Nacional,IFN4_MFE25,MATO,,
117,Halimium spp.,Nacional,IFN4_MFE25,MATO,,
118,Cotoneaster spp.,Nacional,IFN4_MFE25,MATO,,
119,Rosa spp.,Nacional,IFN4_MFE25,MATO,,
120,Daboecia cantabrica,Nacional,IFN4_MFE25,MATO,,
121,Rubus spp.,Nacional,IFN4_MFE25,MATO,,
122,Rhamnus spp.,Nacional,IFN4_MFE25,MATO,,
124,Bupleurum spp.,Nacional,IFN4_MFE25,MATO,,
126,Artemisia spp.,Nacional,IFN4_MFE25,MATO,,
127,Santolina rosmarinifolia,Nacional,IFN4_MFE25,MATO,,
128,Helichrysum stoechas,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
129,Thymus spp.,Nacional,IFN4_MFE25,MATO,,
130,Ruscus aculeatus,Nacional,IFN4_MFE25,MATO,,
131,Ribes spp.,Nacional,IFN4_MFE25,MATO,,
132,Clematis spp.,Nacional,IFN4_MFE25,MATO,,
133,Atriplex spp.,Nacional,IFN4_MFE25,MATO,,
134,Spiraea spp.,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
135,Osyris spp.,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
136,Chamaespartium tridentatum,Nacional,IFN4_MFE25,MATO,,
137,Vaccinium myrtillus,Nacional,IFN4_MFE25,MATO,,
138,Asparagus spp.,Nacional,IFN4_MFE25,MATO,,
139,Coriaria myrtifolia,Nacional,IFN4_MFE25,MATO,,
